county_x,FIPS,pop_count,POPESTIMATE2020,pop_diffs,pop_diffs_abs,undercount,percent_change,overcount_5_prc,undercount_5_prc,overcount_10_prc,undercount_10_prc,annual_growth_rate,overcount,total_housing,occ_housing,unocc_housing,total_group,total_inst,adult_jail,juvenille_jail,nursing_homes,other_inst,non_inst_total,college_housing,military_housing,other_non_inst,state_fips_x,county_fips_x,CENSUS2010POP,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,fatalityCount,pop_covid_est,county_y,0-5_pop,5-9_pop,10-14_pop,15-19_pop,20-24_pop,25-34_pop,35-44_pop,45-54_pop,55-59_pop,60-64_pop,65-74_pop,75-84_pop,85_plus_pop,white_pop,black_pop,ai_an_pop,asian_pop,black_w_other_race_pop,hisp_any_race_pop,male_pop,female_pop,state_fips_y,county_fips_y
Randolph County,37151,144171.0,144557.0,386.0,386.0,1,0.2670226969292389,0,0,0,0,14455.6,0,62024.0,57470.0,4554.0,1604.0,1201.0,448.0,62.0,691.0,0.0,403.0,13.0,0.0,390.0,37,151,141752,1531,1720,-189,2,1251,897,143667,"Randolph County, North Carolina",8086.0,8836.0,9446.0,9262.0,8127.0,16873.0,16708.0,20653.0,11063.0,8993.0,15132.0,7467.0,2814.0,120630.0,8855.0,440.0,1763.0,10898.0,16739.0,70830.0,72630.0,37,151
Richmond County,37153,42946.0,44332.0,1386.0,1386.0,1,3.1264098168365964,0,0,0,0,4433.1,0,19605.0,17454.0,2151.0,963.0,882.0,716.0,5.0,151.0,10.0,81.0,0.0,0.0,81.0,37,153,46639,552,621,-69,-5,-358,228,44829,"Richmond County, North Carolina",2736.0,2100.0,3456.0,2683.0,3207.0,5344.0,5150.0,6033.0,2923.0,3195.0,4742.0,2605.0,585.0,27065.0,14269.0,1155.0,458.0,14732.0,2973.0,21891.0,22868.0,37,153
Robeson County,37155,116530.0,129999.0,13469.0,13469.0,1,10.360848929607153,1,0,1,0,12999.8,0,48426.0,43402.0,5024.0,3941.0,1721.0,1060.0,38.0,623.0,0.0,2220.0,1916.0,0.0,304.0,37,155,134168,1661,1525,136,35,-617,1218,130625,"Robeson County, North Carolina",8738.0,9159.0,9462.0,9963.0,9056.0,16700.0,15528.0,16393.0,7840.0,8789.0,12456.0,5775.0,1797.0,35898.0,31370.0,52907.0,769.0,32368.0,11688.0,63484.0,68172.0,37,155
Rockingham County,37157,91096.0,91285.0,189.0,189.0,1,0.2070438735827353,0,0,0,0,9128.4,0,43431.0,38740.0,4691.0,979.0,790.0,173.0,9.0,608.0,0.0,189.0,0.0,0.0,189.0,37,157,93643,898,1320,-422,0,590,173,91010,"Rockingham County, North Carolina",4677.0,5202.0,5238.0,5230.0,4892.0,10020.0,10301.0,12614.0,7357.0,6966.0,10730.0,5851.0,1973.0,68154.0,16580.0,473.0,639.0,18113.0,5630.0,43718.0,47333.0,37,157
Rowan County,37159,146875.0,142495.0,-4380.0,4380.0,0,-3.0737920628793995,0,0,0,0,14249.4,1,63200.0,57433.0,5767.0,4109.0,2210.0,1174.0,97.0,939.0,0.0,1899.0,1539.0,0.0,360.0,37,159,138428,1573,1723,-150,20,805,2301,142088,"Rowan County, North Carolina",8016.0,8933.0,8775.0,9379.0,8447.0,17565.0,16361.0,19231.0,10335.0,9283.0,14547.0,7310.0,2796.0,107430.0,22737.0,802.0,1431.0,24760.0,12736.0,69673.0,71305.0,37,159
Rutherford County,37161,64444.0,67076.0,2632.0,2632.0,1,3.923907209732244,0,0,0,0,6707.5,0,32444.0,26652.0,5792.0,1175.0,924.0,458.0,18.0,443.0,5.0,251.0,0.0,0.0,251.0,37,161,67810,663,928,-265,-6,316,515,67029,"Rutherford County, North Carolina",3399.0,3930.0,3672.0,4282.0,3304.0,7266.0,7379.0,9194.0,4887.0,5095.0,8507.0,4283.0,1543.0,57134.0,6138.0,251.0,345.0,7223.0,3047.0,32341.0,34400.0,37,161
Sampson County,37163,59036.0,63382.0,4346.0,4346.0,1,6.856836325770724,1,0,0,0,6338.1,0,25481.0,22562.0,2919.0,1139.0,756.0,582.0,0.0,174.0,0.0,383.0,0.0,0.0,383.0,37,163,63431,780,752,28,86,-105,182,63531,"Sampson County, North Carolina",4088.0,4180.0,4487.0,4080.0,3968.0,7089.0,7481.0,8315.0,4285.0,3971.0,6589.0,3767.0,984.0,38439.0,16115.0,1318.0,370.0,17140.0,12665.0,31128.0,32156.0,37,163
Scotland County,37165,34174.0,34637.0,463.0,463.0,1,1.3367208476484684,0,0,0,0,3463.6,0,14348.0,12870.0,1478.0,3275.0,2857.0,2613.0,0.0,243.0,1.0,418.0,384.0,0.0,34.0,37,165,36157,435,451,-16,14,-138,24,34823,"Scotland County, North Carolina",2256.0,2356.0,2099.0,2266.0,2296.0,4371.0,4178.0,4195.0,2266.0,2406.0,3712.0,1837.0,683.0,15069.0,13542.0,4217.0,269.0,14001.0,1126.0,17272.0,17649.0,37,165
Stanly County,37167,62504.0,63239.0,735.0,735.0,1,1.1622574677018929,0,0,0,0,6323.8,0,27685.0,24742.0,2943.0,2031.0,1365.0,943.0,10.0,412.0,0.0,666.0,417.0,0.0,249.0,37,167,60585,675,795,-120,3,713,321,62806,"Stanly County, North Carolina",3372.0,3794.0,3776.0,3949.0,3608.0,7832.0,6976.0,8488.0,4336.0,4177.0,6904.0,3355.0,1483.0,51637.0,7206.0,317.0,1058.0,7707.0,2706.0,31014.0,31036.0,37,167
Stokes County,37169,44520.0,45743.0,1223.0,1223.0,1,2.673633124193866,0,0,0,0,4574.2,0,21160.0,18893.0,2267.0,628.0,564.0,103.0,0.0,461.0,0.0,64.0,0.0,0.0,64.0,37,169,47401,384,599,-215,23,301,10,45591,"Stokes County, North Carolina",1935.0,2440.0,2514.0,2605.0,2503.0,4767.0,5017.0,6909.0,3699.0,3910.0,5371.0,3065.0,953.0,42399.0,1810.0,235.0,175.0,2115.0,1485.0,22146.0,23542.0,37,169
