county_x,FIPS,pop_count,POPESTIMATE2020,pop_diffs,pop_diffs_abs,undercount,percent_change,overcount_5_prc,undercount_5_prc,overcount_10_prc,undercount_10_prc,annual_growth_rate,overcount,total_housing,occ_housing,unocc_housing,total_group,total_inst,adult_jail,juvenille_jail,nursing_homes,other_inst,non_inst_total,college_housing,military_housing,other_non_inst,state_fips_x,county_fips_x,CENSUS2010POP,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,fatalityCount,pop_covid_est,county_y,0-5_pop,5-9_pop,10-14_pop,15-19_pop,20-24_pop,25-34_pop,35-44_pop,45-54_pop,55-59_pop,60-64_pop,65-74_pop,75-84_pop,85_plus_pop,white_pop,black_pop,ai_an_pop,asian_pop,black_w_other_race_pop,hisp_any_race_pop,male_pop,female_pop,state_fips_y,county_fips_y
Cabarrus County,37025,225804.0,221479.0,-4325.0,4325.0,0,-1.952781076309718,0,0,0,0,22147.8,1,87410.0,82596.0,4814.0,1806.0,1413.0,555.0,137.0,713.0,8.0,393.0,178.0,0.0,215.0,37,25,178011,2574,1821,753,94,4317,1512,216453,"Cabarrus County, North Carolina",13421.0,14058.0,17012.0,14799.0,11733.0,26662.0,30316.0,30835.0,13380.0,11449.0,16941.0,7599.0,3400.0,146344.0,39530.0,672.0,8780.0,42312.0,22444.0,103136.0,108469.0,37,25
Caldwell County,37027,80652.0,82100.0,1448.0,1448.0,1,1.763702801461632,0,0,0,0,8209.9,0,36931.0,33166.0,3765.0,1105.0,839.0,413.0,3.0,417.0,6.0,266.0,0.0,0.0,266.0,37,27,83029,828,1100,-272,51,42,143,82178,"Caldwell County, North Carolina",4169.0,4062.0,5150.0,5031.0,4499.0,9112.0,8949.0,12671.0,6156.0,5723.0,9961.0,4784.0,1789.0,72500.0,3509.0,194.0,428.0,4706.0,4677.0,40494.0,41562.0,37,27
Camden County,37029,10355.0,10984.0,629.0,629.0,1,5.726511289147852,1,0,0,0,1098.3,0,4119.0,3875.0,244.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,37,29,9980,101,74,27,2,186,0,10867,"Camden County, North Carolina",560.0,663.0,770.0,654.0,348.0,1286.0,1371.0,1721.0,841.0,566.0,1146.0,530.0,198.0,8721.0,1181.0,24.0,195.0,1400.0,325.0,5369.0,5285.0,37,29
Carteret County,37031,67686.0,69558.0,1872.0,1872.0,1,2.691279220219098,0,0,0,0,6955.7,0,50846.0,30112.0,20734.0,864.0,702.0,424.0,0.0,278.0,0.0,162.0,33.0,32.0,97.0,37,31,66469,504,964,-460,20,489,310,69473,"Carteret County, North Carolina",2828.0,3348.0,3677.0,3639.0,3122.0,6863.0,7652.0,9130.0,5263.0,6473.0,10528.0,5048.0,1730.0,61715.0,3418.0,212.0,786.0,4866.0,3011.0,33928.0,35373.0,37,31
Caswell County,37033,22736.0,22443.0,-293.0,293.0,0,-1.3055295637838078,0,0,0,0,2244.2,1,10444.0,9124.0,1320.0,1476.0,1367.0,1232.0,0.0,135.0,0.0,109.0,0.0,0.0,109.0,37,33,23719,210,271,-61,13,-99,53,22604,"Caswell County, North Carolina",1048.0,737.0,1645.0,1391.0,1300.0,2150.0,2699.0,3170.0,1814.0,1803.0,2918.0,1486.0,458.0,14241.0,7391.0,56.0,204.0,7573.0,958.0,11416.0,11203.0,37,33
Catawba County,37035,160610.0,160307.0,-303.0,303.0,0,-0.189012332586849,0,0,0,0,16030.6,1,70744.0,64471.0,6273.0,2826.0,1503.0,443.0,37.0,1023.0,0.0,1323.0,844.0,0.0,479.0,37,35,154358,1688,1819,-131,136,940,432,159551,"Catawba County, North Carolina",8844.0,9322.0,10508.0,10397.0,9344.0,18694.0,18813.0,22244.0,12110.0,10083.0,16930.0,8404.0,2814.0,124385.0,13148.0,632.0,7064.0,15533.0,15636.0,77513.0,80994.0,37,35
Chatham County,37037,76285.0,75748.0,-537.0,537.0,0,-0.70892960870254,0,0,0,0,7574.7,1,33947.0,31288.0,2659.0,807.0,711.0,66.0,28.0,617.0,0.0,96.0,0.0,0.0,96.0,37,37,63505,629,845,-216,-13,1567,1738,74470,"Chatham County, North Carolina",3478.0,3867.0,4587.0,3888.0,3213.0,6576.0,8409.0,10092.0,5656.0,5330.0,10199.0,5011.0,2547.0,57630.0,8598.0,130.0,1182.0,9536.0,8794.0,34691.0,38162.0,37,37
Cherokee County,37039,28774.0,29073.0,299.0,299.0,1,1.0284456368451829,0,0,0,0,2907.2,0,17863.0,12705.0,5158.0,353.0,257.0,117.0,0.0,140.0,0.0,96.0,0.0,0.0,96.0,37,39,27444,248,379,-131,2,497,92,28612,"Cherokee County, North Carolina",1081.0,1144.0,1536.0,1304.0,1366.0,2548.0,2839.0,3482.0,2065.0,2609.0,5144.0,2583.0,712.0,26433.0,365.0,489.0,219.0,586.0,980.0,13913.0,14500.0,37,39
Chowan County,37041,13708.0,13815.0,107.0,107.0,1,0.7745204487875498,0,0,0,0,1381.4,0,7131.0,5884.0,1247.0,284.0,254.0,22.0,12.0,220.0,0.0,30.0,0.0,0.0,30.0,37,41,14793,126,216,-90,-2,-9,0,13943,"Chowan County, North Carolina",750.0,593.0,931.0,694.0,392.0,1770.0,1612.0,1564.0,1121.0,1090.0,2038.0,893.0,547.0,8463.0,4790.0,65.0,68.0,4975.0,502.0,6631.0,7364.0,37,41
Clay County,37043,11089.0,11505.0,416.0,416.0,1,3.615819209039548,0,0,0,0,1150.4,0,7295.0,4880.0,2415.0,98.0,81.0,0.0,3.0,78.0,0.0,17.0,0.0,0.0,17.0,37,43,10587,84,144,-60,-2,293,0,11231,"Clay County, North Carolina",510.0,560.0,647.0,411.0,341.0,1082.0,1054.0,1214.0,525.0,1344.0,2048.0,1252.0,162.0,10754.0,215.0,58.0,20.0,237.0,385.0,5158.0,5992.0,37,43
Cleveland County,37045,99519.0,99035.0,-484.0,484.0,0,-0.4887161104659968,0,0,0,0,9903.4,1,43630.0,39887.0,3743.0,2100.0,676.0,255.0,25.0,396.0,0.0,1424.0,1155.0,0.0,269.0,37,45,98078,1151,1358,-207,44,1240,159,97947,"Cleveland County, North Carolina",5576.0,6015.0,6044.0,6505.0,6254.0,11392.0,10806.0,13393.0,7017.0,6680.0,10854.0,5136.0,2093.0,72430.0,20260.0,240.0,985.0,21334.0,3618.0,47150.0,50615.0,37,45
Columbus County,37047,50623.0,54754.0,4131.0,4131.0,1,7.544654271834021,1,0,0,0,5475.3,0,23433.0,20368.0,3065.0,2508.0,2445.0,2187.0,9.0,249.0,0.0,63.0,0.0,0.0,63.0,37,47,58098,558,822,-264,6,-438,1579,55508,"Columbus County, North Carolina",2975.0,3424.0,3054.0,3351.0,3543.0,6776.0,6522.0,7170.0,3670.0,4032.0,6563.0,3473.0,1106.0,34770.0,16519.0,1964.0,246.0,17330.0,3061.0,27580.0,28079.0,37,47
Craven County,37049,100720.0,101233.0,513.0,513.0,1,0.5067517509112641,0,0,0,0,10123.2,0,46800.0,40932.0,5868.0,3469.0,1470.0,818.0,0.0,652.0,0.0,1999.0,0.0,1786.0,213.0,37,49,103505,1304,1146,158,59,-1009,344,102139,"Craven County, North Carolina",6468.0,6377.0,5794.0,6160.0,9760.0,13425.0,11291.0,10585.0,6466.0,6258.0,11423.0,5977.0,2306.0,71278.0,21899.0,673.0,2982.0,23312.0,7644.0,51413.0,50877.0,37,49
Cumberland County,37051,334728.0,336364.0,1636.0,1636.0,1,0.4863778525644837,0,0,0,0,33636.3,0,142175.0,128978.0,13197.0,14474.0,1884.0,535.0,116.0,1233.0,0.0,12590.0,1365.0,10800.0,425.0,37,51,319431,5379,2912,2467,559,-3184,1440,335509,"Cumberland County, North Carolina",25266.0,23505.0,21385.0,22904.0,33831.0,57306.0,39505.0,35676.0,19065.0,16209.0,23703.0,11827.0,4380.0,162289.0,124500.0,4299.0,8452.0,137579.0,40081.0,166102.0,168460.0,37,51
Currituck County,37053,28100.0,29052.0,952.0,952.0,1,3.2768828307861764,0,0,0,0,2905.1,0,15989.0,10723.0,5266.0,147.0,79.0,23.0,0.0,56.0,0.0,68.0,0.0,0.0,68.0,37,53,23547,271,205,66,1,1075,0,27763,"Currituck County, North Carolina",1419.0,1627.0,1876.0,1615.0,1207.0,3230.0,3521.0,3929.0,2087.0,2232.0,2883.0,1200.0,384.0,24261.0,1496.0,93.0,111.0,1837.0,1138.0,13515.0,13695.0,37,53
Dare County,37055,36915.0,37547.0,632.0,632.0,1,1.6832236929714757,0,0,0,0,3754.6,0,34237.0,15966.0,18271.0,310.0,187.0,55.0,0.0,132.0,0.0,123.0,14.0,42.0,67.0,37,55,33920,312,355,-43,43,479,109,37009,"Dare County, North Carolina",1563.0,1926.0,2149.0,1877.0,1650.0,3537.0,4488.0,5126.0,3060.0,3469.0,5169.0,2164.0,520.0,33445.0,1223.0,54.0,200.0,1425.0,2720.0,18377.0,18321.0,37,55
Davidson County,37057,168930.0,169234.0,304.0,304.0,1,0.1796329342803455,0,0,0,0,16923.3,0,74536.0,68126.0,6410.0,1863.0,1652.0,647.0,104.0,901.0,0.0,211.0,0.0,0.0,211.0,37,57,162878,1768,2002,-234,96,1134,812,167609,"Davidson County, North Carolina",9113.0,10630.0,10153.0,10138.0,9328.0,19481.0,19532.0,24299.0,13020.0,10905.0,17569.0,9531.0,3138.0,140969.0,15760.0,422.0,2572.0,17592.0,12265.0,81445.0,85392.0,37,57
Davie County,37059,42712.0,43286.0,574.0,574.0,1,1.3260638543639978,0,0,0,0,4328.5,0,18753.0,17256.0,1497.0,412.0,375.0,53.0,0.0,322.0,0.0,37.0,0.0,0.0,37.0,37,59,41240,401,490,-89,-11,692,197,42846,"Davie County, North Carolina",2076.0,2464.0,2788.0,2605.0,2153.0,4177.0,4705.0,6432.0,3434.0,2910.0,5034.0,2891.0,874.0,37696.0,2035.0,273.0,295.0,2284.0,2940.0,20628.0,21915.0,37,59
Duplin County,37061,48715.0,58794.0,10079.0,10079.0,1,17.142905738680817,1,0,1,0,5879.3,0,23704.0,19195.0,4509.0,426.0,271.0,0.0,0.0,271.0,0.0,155.0,0.0,0.0,155.0,37,61,58505,700,625,75,93,-176,936,58741,"Duplin County, North Carolina",3646.0,4451.0,3540.0,3776.0,3465.0,6629.0,6814.0,7451.0,4512.0,3767.0,6401.0,3180.0,1333.0,40646.0,13655.0,222.0,187.0,14815.0,13225.0,28746.0,30219.0,37,61
Durham County,37063,324833.0,327306.0,2473.0,2473.0,1,0.7555620734114253,0,0,0,0,32730.5,0,144559.0,134653.0,9906.0,14333.0,4123.0,2758.0,4.0,1319.0,42.0,10210.0,8115.0,0.0,2095.0,37,63,267587,4188,2429,1759,1271,1314,2991,321488,"Durham County, North Carolina",20402.0,18016.0,17558.0,20257.0,22146.0,57802.0,44612.0,38515.0,18849.0,17970.0,25813.0,10925.0,4800.0,161588.0,112965.0,850.0,15802.0,119578.0,43051.0,151807.0,165858.0,37,63
Edgecombe County,37065,48900.0,50829.0,1929.0,1929.0,1,3.795077613173582,0,0,0,0,5082.8,0,23059.0,19971.0,3088.0,694.0,390.0,124.0,22.0,244.0,0.0,304.0,0.0,0.0,304.0,37,65,56552,572,730,-158,11,-450,534,51472,"Edgecombe County, North Carolina",2987.0,3195.0,3518.0,3052.0,3036.0,6416.0,5596.0,6204.0,3572.0,4217.0,6101.0,3099.0,1076.0,20497.0,29920.0,176.0,84.0,30436.0,2512.0,24168.0,27901.0,37,65
Forsyth County,37067,382590.0,383843.0,1253.0,1253.0,1,0.326435547867227,0,0,0,0,38384.2,0,170176.0,156635.0,13541.0,10927.0,2657.0,913.0,80.0,1600.0,64.0,8270.0,7669.0,0.0,601.0,37,67,350670,4367,3714,653,333,716,1060,382295,"Forsyth County, North Carolina",22479.0,24070.0,25414.0,27249.0,24799.0,49894.0,45369.0,49545.0,26106.0,23245.0,35406.0,17829.0,7094.0,242798.0,98741.0,1318.0,9070.0,106884.0,49324.0,179533.0,198966.0,37,67
Franklin County,37069,68573.0,71859.0,3286.0,3286.0,1,4.572844041804089,0,0,0,0,7185.8,0,29358.0,26300.0,3058.0,1570.0,970.0,764.0,0.0,206.0,0.0,600.0,483.0,0.0,117.0,37,69,60619,752,714,38,60,1998,1525,69685,"Franklin County, North Carolina",3787.0,4124.0,4360.0,4288.0,3983.0,7966.0,8448.0,9585.0,5347.0,4637.0,7044.0,3488.0,970.0,45378.0,16389.0,644.0,311.0,18085.0,5875.0,33766.0,34261.0,37,69
Gaston County,37071,227943.0,226568.0,-1375.0,1375.0,0,-0.6068818191448042,0,0,0,0,22656.7,1,98136.0,90799.0,7337.0,3460.0,2367.0,686.0,26.0,1641.0,14.0,1093.0,748.0,0.0,345.0,37,71,206086,2561,2646,-85,71,1929,515,224529,"Gaston County, North Carolina",13133.0,13823.0,14378.0,13838.0,12851.0,29419.0,27682.0,31982.0,14617.0,14669.0,21530.0,10368.0,3829.0,168479.0,36817.0,665.0,3764.0,41188.0,16172.0,107131.0,114988.0,37,71
Gates County,37073,10478.0,11464.0,986.0,986.0,1,8.600837404047452,1,0,0,0,1146.3,0,4767.0,4244.0,523.0,116.0,116.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,37,73,12197,94,131,-37,1,-36,55,11562,"Gates County, North Carolina",422.0,640.0,800.0,760.0,509.0,1195.0,1068.0,1805.0,912.0,1047.0,1450.0,656.0,255.0,7260.0,3638.0,93.0,178.0,3744.0,11.0,5571.0,5948.0,37,73
Graham County,37075,8030.0,8474.0,444.0,444.0,1,5.239556289827709,1,0,0,0,847.3,0,5212.0,3317.0,1895.0,275.0,96.0,23.0,0.0,73.0,0.0,179.0,0.0,0.0,179.0,37,75,8861,83,109,-26,-1,32,0,8441,"Graham County, North Carolina",380.0,337.0,683.0,533.0,407.0,797.0,1000.0,1184.0,551.0,633.0,1112.0,573.0,311.0,7443.0,16.0,764.0,0.0,16.0,318.0,4003.0,4498.0,37,75
Granville County,37077,60992.0,60486.0,-506.0,506.0,0,-0.8365572198525277,0,0,0,0,6048.5,1,24214.0,22461.0,1753.0,4276.0,3635.0,3119.0,97.0,121.0,298.0,641.0,0.0,0.0,641.0,37,77,59916,582,632,-50,16,162,740,60443,"Granville County, North Carolina",2974.0,3226.0,3762.0,3742.0,3669.0,6962.0,7503.0,8934.0,5187.0,3677.0,6162.0,3038.0,987.0,36105.0,17635.0,214.0,324.0,19373.0,4941.0,30465.0,29358.0,37,77
Greene County,37079,20451.0,20928.0,477.0,477.0,1,2.279243119266055,0,0,0,0,2092.7,0,7846.0,6984.0,862.0,3397.0,3272.0,3129.0,0.0,143.0,0.0,125.0,0.0,0.0,125.0,37,79,21362,215,237,-22,1,33,95,21069,"Greene County, North Carolina",1024.0,1155.0,1318.0,1388.0,1063.0,2908.0,3086.0,2671.0,1373.0,1571.0,2071.0,1010.0,349.0,11961.0,7087.0,103.0,10.0,7656.0,3213.0,11529.0,9458.0,37,79
Guilford County,37081,541299.0,540521.0,-778.0,778.0,0,-0.1439352032575977,0,0,0,0,54052.0,1,232277.0,216022.0,16255.0,25462.0,3356.0,892.0,102.0,2345.0,17.0,22106.0,20084.0,0.0,2022.0,37,81,488406,6074,5065,1009,1087,520,4563,537174,"Guilford County, North Carolina",31237.0,32405.0,34188.0,40665.0,38316.0,73472.0,65229.0,70267.0,34744.0,31515.0,47613.0,22511.0,10794.0,288050.0,182467.0,2559.0,27443.0,192362.0,43379.0,252457.0,280499.0,37,81
Halifax County,37083,48622.0,49479.0,857.0,857.0,1,1.7320479395299015,0,0,0,0,4947.8,0,24735.0,20707.0,4028.0,1296.0,1228.0,983.0,12.0,233.0,0.0,68.0,0.0,0.0,68.0,37,83,54691,516,770,-254,14,-355,121,50010,"Halifax County, North Carolina",2765.0,2721.0,3495.0,2948.0,2701.0,5927.0,5412.0,6551.0,3897.0,3730.0,6132.0,3161.0,1238.0,20078.0,26439.0,1771.0,367.0,27467.0,1510.0,24445.0,26233.0,37,83
Harnett County,37085,133568.0,137058.0,3490.0,3490.0,1,2.54636723139109,0,0,0,0,13705.7,0,52876.0,48083.0,4793.0,3456.0,1901.0,966.0,23.0,912.0,0.0,1555.0,1403.0,0.0,152.0,37,85,114678,1850,1175,675,71,133,1499,135976,"Harnett County, North Carolina",9844.0,10021.0,9793.0,8980.0,8115.0,21188.0,18350.0,16473.0,7312.0,7370.0,10208.0,5043.0,1631.0,89770.0,28169.0,1316.0,1810.0,31313.0,17509.0,66571.0,67757.0,37,85
Haywood County,37087,62089.0,62972.0,883.0,883.0,1,1.4022105062567491,0,0,0,0,6297.1,0,34889.0,27193.0,7696.0,949.0,615.0,86.0,43.0,486.0,0.0,334.0,0.0,0.0,334.0,37,87,59036,531,850,-319,6,778,0,62317,"Haywood County, North Carolina",2916.0,2896.0,3308.0,3202.0,2938.0,7076.0,6736.0,8006.0,4576.0,4910.0,8796.0,4918.0,1584.0,58482.0,541.0,326.0,468.0,993.0,2557.0,30109.0,31753.0,37,87
Henderson County,37089,116281.0,118445.0,2164.0,2164.0,1,1.8270083160960784,0,0,0,0,11844.4,0,56434.0,49317.0,7117.0,1349.0,956.0,155.0,21.0,780.0,0.0,393.0,25.0,0.0,368.0,37,89,106740,1055,1553,-498,4,1598,2755,117417,"Henderson County, North Carolina",5509.0,6165.0,6478.0,6163.0,5236.0,11698.0,13206.0,14859.0,8448.0,8511.0,16874.0,9396.0,3755.0,105339.0,4168.0,323.0,1618.0,5277.0,11835.0,55747.0,60551.0,37,89
Hertford County,37091,21552.0,23108.0,1556.0,1556.0,1,6.73359875367838,1,0,0,0,2310.7,0,9803.0,8351.0,1452.0,2781.0,1677.0,1288.0,0.0,161.0,228.0,1104.0,1048.0,0.0,56.0,37,91,24669,206,317,-111,11,-429,254,23677,"Hertford County, North Carolina",1069.0,951.0,1573.0,1950.0,1626.0,2740.0,2569.0,2856.0,1765.0,1861.0,2743.0,1592.0,457.0,8255.0,14295.0,312.0,206.0,14603.0,885.0,11754.0,11998.0,37,91
Hoke County,37093,52082.0,55830.0,3748.0,3748.0,1,6.713236611140963,1,0,0,0,5582.9,0,20083.0,18590.0,1493.0,421.0,374.0,142.0,11.0,221.0,0.0,47.0,17.0,0.0,30.0,37,93,46952,846,422,424,38,201,67,55234,"Hoke County, North Carolina",4608.0,4314.0,3855.0,3501.0,3059.0,9643.0,7847.0,6356.0,3346.0,2591.0,3648.0,1211.0,611.0,24060.0,18320.0,4197.0,780.0,20008.0,7592.0,26979.0,27611.0,37,93
Hyde County,37095,4589.0,4843.0,254.0,254.0,1,5.244683047697708,1,0,0,0,484.2,0,3146.0,1804.0,1342.0,567.0,551.0,531.0,0.0,20.0,0.0,16.0,0.0,0.0,16.0,37,95,5810,34,56,-22,-2,-63,0,4937,"Hyde County, North Carolina",364.0,343.0,206.0,180.0,153.0,668.0,836.0,473.0,385.0,479.0,754.0,228.0,20.0,3231.0,1501.0,6.0,0.0,1568.0,677.0,2706.0,2383.0,37,95
Iredell County,37097,186693.0,185770.0,-923.0,923.0,0,-0.4968509447165851,0,0,0,0,18576.9,1,79372.0,72706.0,6666.0,1720.0,1504.0,324.0,48.0,1091.0,41.0,216.0,0.0,0.0,216.0,37,97,159437,1921,1814,107,138,3680,457,181806,"Iredell County, North Carolina",9885.0,10702.0,12704.0,11853.0,10180.0,21384.0,22606.0,26859.0,13027.0,11257.0,17208.0,8158.0,3030.0,143147.0,21605.0,550.0,4365.0,23477.0,13958.0,88179.0,90674.0,37,97
Jackson County,37099,43109.0,44033.0,924.0,924.0,1,2.0984261803647266,0,0,0,0,4403.2,0,26649.0,16876.0,9773.0,4597.0,193.0,0.0,0.0,158.0,35.0,4404.0,4238.0,0.0,166.0,37,99,40271,365,405,-40,17,319,53,43938,"Jackson County, North Carolina",1848.0,2011.0,1933.0,4456.0,5159.0,4766.0,4586.0,4617.0,2371.0,3066.0,5334.0,2339.0,949.0,36039.0,899.0,3245.0,318.0,1353.0,2663.0,21095.0,22340.0,37,99
Johnston County,37101,215999.0,216246.0,247.0,247.0,1,0.1142217659517401,0,0,0,0,21624.5,0,84340.0,79053.0,5287.0,1737.0,1429.0,865.0,13.0,543.0,8.0,308.0,0.0,0.0,308.0,37,101,168878,2481,1794,687,123,5680,1555,209339,"Johnston County, North Carolina",12776.0,12244.0,17613.0,13899.0,11180.0,25102.0,28082.0,30368.0,12870.0,12074.0,17174.0,6992.0,2934.0,152289.0,32889.0,971.0,1334.0,36135.0,27928.0,99822.0,103486.0,37,101
Jones County,37103,9172.0,9250.0,78.0,78.0,1,0.8432432432432432,0,0,0,0,924.9,0,4635.0,3873.0,762.0,83.0,74.0,6.0,0.0,68.0,0.0,9.0,0.0,0.0,9.0,37,103,10153,84,126,-42,0,-47,201,9419,"Jones County, North Carolina",419.0,509.0,500.0,536.0,330.0,1182.0,895.0,1278.0,808.0,792.0,1364.0,664.0,176.0,6079.0,2790.0,89.0,35.0,2950.0,480.0,4671.0,4782.0,37,103
Lee County,37105,63285.0,62353.0,-932.0,932.0,0,-1.4947155710230462,0,0,0,0,6235.2,1,26583.0,24575.0,2008.0,1029.0,854.0,416.0,0.0,438.0,0.0,175.0,0.0,0.0,175.0,37,105,57866,791,624,167,65,346,239,61779,"Lee County, North Carolina",3916.0,3897.0,4429.0,4004.0,3438.0,7583.0,7893.0,7928.0,3909.0,4052.0,5882.0,2832.0,1320.0,44316.0,11994.0,421.0,896.0,12851.0,11761.0,29511.0,31572.0,37,105
Lenoir County,37107,55122.0,55720.0,598.0,598.0,1,1.0732232591529074,0,0,0,0,5571.9,0,26577.0,22930.0,3647.0,1374.0,1053.0,94.0,74.0,747.0,138.0,321.0,0.0,0.0,321.0,37,107,59495,620,805,-185,9,-179,459,55949,"Lenoir County, North Carolina",3256.0,3565.0,3752.0,3304.0,3183.0,6564.0,5937.0,7234.0,4419.0,4027.0,6415.0,3206.0,1488.0,29875.0,21871.0,113.0,195.0,23778.0,4434.0,27180.0,29170.0,37,107
Lincoln County,37109,86810.0,88097.0,1287.0,1287.0,1,1.4608897011248965,0,0,0,0,8809.6,0,37170.0,34306.0,2864.0,800.0,642.0,218.0,0.0,424.0,0.0,158.0,0.0,0.0,158.0,37,109,78265,874,965,-91,31,1535,16,86111,"Lincoln County, North Carolina",4305.0,4798.0,5399.0,5191.0,4008.0,9591.0,10515.0,12978.0,6575.0,6238.0,9317.0,4184.0,1481.0,75047.0,4190.0,151.0,702.0,5226.0,6083.0,41833.0,42747.0,37,109
McDowell County,37111,44578.0,45782.0,1204.0,1204.0,1,2.629854527980429,0,0,0,0,4578.1,0,21242.0,18058.0,3184.0,1437.0,1214.0,944.0,15.0,255.0,0.0,223.0,0.0,0.0,223.0,37,111,44996,423,554,-131,5,124,78,45756,"McDowell County, North Carolina",2005.0,3008.0,2501.0,2535.0,2139.0,5399.0,5522.0,6268.0,3511.0,3187.0,5475.0,2814.0,1038.0,41218.0,1672.0,77.0,465.0,2086.0,2798.0,22941.0,22461.0,37,111
Macon County,37113,37014.0,35994.0,-1020.0,1020.0,0,-2.8338056342723785,0,0,0,0,3599.3,1,26948.0,16379.0,10569.0,318.0,229.0,78.0,26.0,64.0,61.0,89.0,0.0,0.0,89.0,37,113,33922,325,467,-142,20,390,102,35858,"Macon County, North Carolina",1641.0,1325.0,2185.0,1819.0,1619.0,3663.0,3320.0,4073.0,2736.0,2698.0,5873.0,3129.0,1091.0,32746.0,522.0,224.0,329.0,666.0,2543.0,16923.0,18249.0,37,113
Madison County,37115,21193.0,21740.0,547.0,547.0,1,2.516099356025759,0,0,0,0,2173.9,0,11045.0,8920.0,2125.0,870.0,194.0,0.0,7.0,187.0,0.0,676.0,589.0,0.0,87.0,37,115,20764,197,275,-78,7,174,0,21755,"Madison County, North Carolina",983.0,1092.0,997.0,1517.0,1416.0,2414.0,2491.0,2700.0,1551.0,1630.0,2863.0,1557.0,397.0,20496.0,320.0,72.0,107.0,547.0,533.0,10619.0,10989.0,37,115
Martin County,37117,22031.0,22178.0,147.0,147.0,1,0.6628190098295609,0,0,0,0,2217.7,0,11080.0,9554.0,1526.0,194.0,184.0,0.0,4.0,180.0,0.0,10.0,0.0,0.0,10.0,37,117,24505,228,320,-92,0,-181,206,22440,"Martin County, North Carolina",1186.0,1051.0,1606.0,1338.0,1042.0,2375.0,2384.0,2863.0,2028.0,1568.0,3088.0,1545.0,570.0,12132.0,9523.0,67.0,145.0,9699.0,942.0,10539.0,12105.0,37,117
Mecklenburg County,37119,1115482.0,1128945.0,13463.0,13463.0,1,1.1925293083365442,0,0,0,0,112894.4,0,478966.0,448814.0,30152.0,17423.0,5152.0,1584.0,118.0,3450.0,0.0,12271.0,10035.0,0.0,2236.0,37,119,919628,14706,7302,7404,4206,4008,6460,1110356,"Mecklenburg County, North Carolina",72857.0,71529.0,71343.0,69272.0,71418.0,187428.0,160963.0,146983.0,63972.0,56625.0,75426.0,33207.0,14147.0,568313.0,346514.0,3818.0,66376.0,365738.0,146710.0,526453.0,568717.0,37,119
Mitchell County,37121,14903.0,14881.0,-22.0,22.0,0,-0.1478395269135138,0,0,0,0,1488.0,1,8638.0,6612.0,2026.0,140.0,74.0,0.0,1.0,73.0,0.0,66.0,44.0,0.0,22.0,37,121,15579,135,245,-110,7,58,0,14964,"Mitchell County, North Carolina",696.0,627.0,900.0,808.0,773.0,1711.0,1529.0,1878.0,1226.0,1073.0,2116.0,990.0,632.0,14322.0,21.0,77.0,28.0,145.0,848.0,7453.0,7506.0,37,121
Montgomery County,37123,25751.0,27238.0,1487.0,1487.0,1,5.459284822674205,1,0,0,0,2723.7,0,14773.0,10333.0,4440.0,637.0,548.0,386.0,41.0,121.0,0.0,89.0,0.0,0.0,89.0,37,123,27798,280,333,-53,-1,83,282,27173,"Montgomery County, North Carolina",1433.0,1388.0,1750.0,1891.0,1708.0,2832.0,3023.0,3710.0,1846.0,2059.0,3321.0,1785.0,477.0,20566.0,4729.0,129.0,419.0,5201.0,4201.0,13514.0,13709.0,37,123
Moore County,37125,99727.0,103352.0,3625.0,3625.0,1,3.50743091570555,0,0,0,0,10335.1,0,48237.0,41881.0,6356.0,988.0,915.0,0.0,29.0,886.0,0.0,73.0,0.0,0.0,73.0,37,125,88247,1178,1266,-88,65,2223,746,100880,"Moore County, North Carolina",5784.0,5940.0,5933.0,5444.0,4186.0,11614.0,11600.0,11652.0,6399.0,6760.0,12762.0,8297.0,2892.0,80195.0,10994.0,782.0,1358.0,12414.0,6848.0,47786.0,51477.0,37,125
Nash County,37127,94970.0,94859.0,-111.0,111.0,0,-0.1170157813175344,0,0,0,0,9485.8,1,43154.0,39093.0,4061.0,1621.0,1240.0,770.0,14.0,453.0,3.0,381.0,188.0,0.0,193.0,37,127,95840,1061,1174,-113,45,670,255,94298,"Nash County, North Carolina",5230.0,5776.0,5843.0,5848.0,6221.0,11145.0,10820.0,12739.0,6928.0,6510.0,10559.0,4320.0,2348.0,48456.0,38174.0,583.0,858.0,39526.0,6692.0,45118.0,49169.0,37,127
New Hanover County,37129,225702.0,236613.0,10911.0,10911.0,1,4.611327357330324,0,0,0,0,23661.2,0,113368.0,98109.0,15259.0,5830.0,1474.0,597.0,21.0,856.0,0.0,4356.0,3661.0,81.0,614.0,37,129,202667,2137,2276,-139,82,2391,293,234473,"New Hanover County, North Carolina",11197.0,12563.0,11616.0,15336.0,21541.0,30393.0,29311.0,28335.0,15551.0,14537.0,24666.0,11466.0,4936.0,186681.0,30436.0,544.0,3145.0,33715.0,13197.0,110218.0,121230.0,37,129
